problem,n_levels,frequency,reuse_mode,fitted_local_order,predicted_local_order,r2,mean_nfe_overhead
single_gaussian_d1,2,2,denoised,4.356992247647795,3,0.9981124722825606,0.0
single_gaussian_d1,2,2,derivative,4.356992247647795,3,0.9981124722825606,0.0
single_gaussian_d1,2,2,exact,4.356992247647795,3,0.9981124722825606,0.0
single_gaussian_d1,3,4,denoised,3.339863822058881,4,0.997011665912036,0.0
single_gaussian_d1,3,4,derivative,3.1446669114116848,4,0.9993979610882884,0.0
single_gaussian_d1,3,4,exact,4.364867863272315,4,0.9979782931623296,1.0
single_gaussian_d1,4,8,denoised,3.3116956738880092,5,0.9974176928289464,0.0
single_gaussian_d1,4,8,derivative,3.16825954960988,5,0.9992418545336949,0.0
single_gaussian_d1,4,8,exact,5.699260067144114,5,0.954391284948804,4.0
single_gaussian_d1,5,16,denoised,3.311501236236514,6,0.997420039503073,0.0
single_gaussian_d1,5,16,derivative,3.169973530880162,6,0.9992191903439152,0.0
single_gaussian_d1,5,16,exact,4.5706854755053445,6,0.8883099498007339,11.0
